CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
DPBR,Claimant Count : N92000002 Northern Ireland : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPCF,Claimant Count : E12000001 North East : People : NSA : Thousands,,,2025-02-18,2025-03-20,
DPCI,Claimant Count : E12000006 East : People : NSA : Thousands,,,2025-02-18,2025-03-20,
DPCJ,Claimant Count : E12000007 London : People : NSA : Thousands,,,2025-02-18,2025-03-20,
DPCK,Claimant Count : E12000008 South East : People : NSA : Thousands,,,2025-02-18,2025-03-20,
DPDA,Claimant Count : E12000001 North East : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDD,Claimant Count : E12000006 East : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDE,Claimant Count : E12000007 London : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDF,Claimant Count : E12000008 South East : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDG,Claimant Count : E12000001 North East : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPDJ,Claimant Count : E12000006 East : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPDK,Claimant Count : E12000007 London : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPDL,Claimant Count : E12000008 South East : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPDM,Claimant Count : E12000001 North East : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDP,Claimant Count : E12000006 East : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDQ,Claimant Count : E12000007 London : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPDR,Claimant Count : E12000008 South East : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
ELNP,Claimant Count : K02000001 UK : Men : All ages  : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
ELON,Claimant Count : K02000001 UK : Men : All ages  : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
GBHG,Claimant Count : K02000001 UK : Men : All ages  : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
GEYU,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEYV,Claimant Count : K02000001 UK : People : All Ages : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEYW,Claimant Count : K02000001 UK : People : All Ages : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEYX,Claimant Count : K02000001 UK : People : All Ages : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEYY,Claimant Count : K02000001 UK : People : All Ages : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEYZ,Claimant Count : K02000001 UK : People : All Ages : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZA,Claimant Count : K02000001 UK : People : 18-24 yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZB,Claimant Count : K02000001 UK : People : 18-24 yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZC,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZD,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZE,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZF,Claimant Count : K02000001 UK : People : 25-49 yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZG,Claimant Count : K02000001 UK : Men : All ages : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZH,Claimant Count : K02000001 UK : Men : All Ages : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZI,Claimant Count : K02000001 UK : Men : All Ages : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZJ,Claimant Count : K02000001 UK : Men : All Ages : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZK,Claimant Count : K02000001 UK : Men : All Ages : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZL,Claimant Count : K02000001 UK : Men : 18-24 yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZM,Claimant Count : K02000001 UK : Men : 18-24 yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZN,Claimant Count : K02000001 UK : Men : 18-24 yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZO,Claimant Count : K02000001 UK : Men : 18-24 yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZP,Claimant Count : K02000001 UK : Men : 18-24 yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZQ,Claimant Count : K02000001 UK : People : 25-49 yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZR,Claimant Count : K02000001 UK : Women : All ages : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZS,Claimant Count : K02000001 UK : Women : All ages  : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZT,Claimant Count : K02000001 UK : Women : All ages  : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZU,Claimant Count : K02000001 UK : Women : All ages  : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZV,Claimant Count : K02000001 UK : Women : All ages  : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZW,Claimant Count : K02000001 UK : Women : 18-24 yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZX,Claimant Count : K02000001 UK : Women : 18-24 yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZY,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
GEZZ,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACI,Claimant Count : K02000001 UK : Men : 25-49 yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
IACJ,Claimant Count : K02000001 UK : Women : 25-49 yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
IACK,Claimant Count : K02000001 UK : Men : 25-49 yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACL,Claimant Count : K02000001 UK : Women : 25-49 yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACM,Claimant Count : K02000001 UK : People : 25-49 yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACN,Claimant Count : K02000001 UK : Men : 25-49 yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACO,Claimant Count : K02000001 UK : Women : 25-49 yrs : Over 6 and up to 12 months : NSA : Thousands,,000's,2025-02-18,2025-03-20,
IACP,Claimant Count : K02000001 UK : People : 25-49 yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACQ,Claimant Count : K02000001 UK : Men : 25-49 yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACR,Claimant Count : K02000001 UK : Women : 25-49 yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACS,Claimant Count : K02000001 UK : People : 25-49 yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACT,Claimant Count : K02000001 UK : Men : 25-49 yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
IACU,Claimant Count : K02000001 UK : Women : 25-49 yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
IACV,Claimant Count : K02000001 UK : People : 50+ yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
IACW,Claimant Count : K02000001 UK : Men : 50+ yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
IACX,Claimant Count : K02000001 UK : Women : 50+ yrs : Computerised claims only : NSA : Thousands,,,2025-02-18,2025-03-20,
IACY,Claimant Count : K02000001 UK : People : 50+ yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IACZ,Claimant Count : K02000001 UK : Men : 50+ yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADA,Claimant Count : K02000001 UK : Women : 50+ yrs : Up to 6 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADB,Claimant Count : K02000001 UK : People : 50+ yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADC,Claimant Count : K02000001 UK : Men : 50+ yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADD,Claimant Count : K02000001 UK : Women : 50+ yrs : Over 6 and up to 12 months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADE,Claimant Count : K02000001 UK : People : 50+ yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADF,Claimant Count : K02000001 UK : Men : 50+ yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADG,Claimant Count : K02000001 UK : Women : 50+ yrs : Over 12 Months : NSA : Thousands,,,2025-02-18,2025-03-20,
IADH,Claimant Count : K02000001 UK : People : 50+ yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
IADI,Claimant Count : K02000001 UK : Men : 50+ yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
IADJ,Claimant Count : K02000001 UK : Women : 50+ yrs : Over 24 Months  : NSA : Thousands,,,2025-02-18,2025-03-20,
IBWA,Claimant Count : E12000002 North West : People : SA : Thousands,,,2025-02-18,2025-03-20,
IBWB,Claimant Count : E12000002 North West : People : NSA : Thousands,,,2025-02-18,2025-03-20,
IBWC,Claimant Count : E12000002 North West : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
IBWD,Claimant Count : E12000002 North West : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
IBWK,Claimant Count : E92000001 England : People : SA : Thousands,,,2025-02-18,2025-03-20,
IKBS,Claimant Count : K02000001 UK : Men : All ages  : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGC,Claimant Count : K02000001 UK : Men : 18-24 yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGD,Claimant Count : K02000001 UK : Men : 18-24 yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGE,Claimant Count : K02000001 UK : Men : 18-24 yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGF,Claimant Count : K02000001 UK : Men : 18-24 yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGG,Claimant Count : K02000001 UK : Men : 18-24 yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLGH,Claimant Count : K02000001 UK : Men : 18-24 yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGI,Claimant Count : K02000001 UK : Women : All ages  : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGJ,Claimant Count : K02000001 UK : Women : All ages  : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGK,Claimant Count : K02000001 UK : Women : All ages  : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGL,Claimant Count : K02000001 UK : Women : All ages  : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGM,Claimant Count : K02000001 UK : Women : All ages  : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLGN,Claimant Count : K02000001 UK : Women : All ages  : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGO,Claimant Count : K02000001 UK : Women : 18-24 yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGP,Claimant Count : K02000001 UK : Women : 18-24 yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGQ,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGR,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGS,Claimant Count : K02000001 UK : Women : 18-24 yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLGT,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGU,Claimant Count : K02000001 UK : People : 25-49 yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGV,Claimant Count : K02000001 UK : People : 25-49 yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGW,Claimant Count : K02000001 UK : People : 25-49 yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGX,Claimant Count : K02000001 UK : People : 25-49 yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLGY,Claimant Count : K02000001 UK : People : 25-49 yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLGZ,Claimant Count : K02000001 UK : People : 25-49 yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHA,Claimant Count : K02000001 UK : People : 50+ yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHB,Claimant Count : K02000001 UK : People : 50+ yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHC,Claimant Count : K02000001 UK : People : 50+ yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHD,Claimant Count : K02000001 UK : People : 50+ yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHE,Claimant Count : K02000001 UK : People : 50+ yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLHF,Claimant Count : K02000001 UK : People : 50+ yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHG,Claimant Count : K02000001 UK : Men : 25-49 yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHH,Claimant Count : K02000001 UK : Men : 25-49 yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHI,Claimant Count : K02000001 UK : Men : 25-49 yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHJ,Claimant Count : K02000001 UK : Men : 25-49 yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLHK,Claimant Count : K02000001 UK : Men : 25-49 yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHL,Claimant Count : K02000001 UK : Men : 50+ yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHM,Claimant Count : K02000001 UK : Men : 50+ yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHN,Claimant Count : K02000001 UK : Men : 50+ yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHO,Claimant Count : K02000001 UK : Men : 50+ yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHP,Claimant Count : K02000001 UK : Men : 50+ yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLHQ,Claimant Count : K02000001 UK : Men : 50+ yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHR,Claimant Count : K02000001 UK : Women : 25-49 yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHS,Claimant Count : K02000001 UK : Women : 25-49 yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHT,Claimant Count : K02000001 UK : Women : 25-49 yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHU,Claimant Count : K02000001 UK : Women : 25-49 yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHV,Claimant Count : K02000001 UK : Women : 25-49 yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLHW,Claimant Count : K02000001 UK : Women : 25-49 yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHX,Claimant Count : K02000001 UK : Women : 50+ yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHY,Claimant Count : K02000001 UK : Women : 50+ yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLHZ,Claimant Count : K02000001 UK : Women : 50+ yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLIA,Claimant Count : K02000001 UK : Women : 50+ yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
JLIB,Claimant Count : K02000001 UK : Women : 50+ yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
JLIC,Claimant Count : K02000001 UK : Women : 50+ yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
JP9H,UK Job Vacancies (thousands) - Mining & Quarrying,,,2025-02-18,2025-03-20,
JP9I,UK Job Vacancies (thousands) - Manufacturing,,,2025-02-18,2025-03-20,
JP9J,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,,2025-02-18,2025-03-20,
JP9K,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,,2025-02-18,2025-03-20,
JP9L,UK Job Vacancies (thousands) - Construction,,,2025-02-18,2025-03-20,
JP9M,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,,2025-02-18,2025-03-20,
JP9N,UK Job Vacancies (thousands) - Transport & Storage,,,2025-02-18,2025-03-20,
JP9O,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,,2025-02-18,2025-03-20,
JP9P,UK Job Vacancies (thousands) - Information & Communication.,,,2025-02-18,2025-03-20,
JP9Q,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,,2025-02-18,2025-03-20,
JP9R,UK Job Vacancies (thousands) - Real Estate Activities.,,,2025-02-18,2025-03-20,
JP9S,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,,2025-02-18,2025-03-20,
JP9T,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,,2025-02-18,2025-03-20,
JP9U,UK Job Vacancies (thousands) - Public Administration & Defence.,,,2025-02-18,2025-03-20,
JP9V,UK Job Vacancies (thousands) - Education.,,,2025-02-18,2025-03-20,
JP9W,UK Job Vacancies (thousands) - Human Health & Social Work.,,,2025-02-18,2025-03-20,
JP9X,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,,2025-02-18,2025-03-20,
JP9Y,UK Job Vacancies (thousands) - Other Service Activities.,,,2025-02-18,2025-03-20,
JP9Z,UK Job Vacancies (thousands) - Total Services,,,2025-02-18,2025-03-20,
JPA2,UK Job Vacancies ratio per 100 emp jobs - Mining & Quarrying,,,2025-02-18,2025-03-20,
JPA3,UK Job Vacancies ratio per 100 emp jobs - Manufacturing,,,2025-02-18,2025-03-20,
JPA4,"UK Job Vacancies ratio per 100 emp jobs - Electricity, Gas, Steam&Air Con Supply",,,2025-02-18,2025-03-20,
JPA5,"UK Job Vacancies ratio per 100 emp jobs - Water Supply, Sewerage, Waste Manage'",,,2025-02-18,2025-03-20,
JPA6,UK Job Vacancies ratio per 100 emp jobs - Construction,,,2025-02-18,2025-03-20,
JPA7,"UK Job Vacancies ratio per 100 empjobs- Wholesale&Retail,Repair of MotorVehicles",,,2025-02-18,2025-03-20,
JPA8,UK Job Vacancies ratio per 100 emp jobs - Transport & Storage,,,2025-02-18,2025-03-20,
JPA9,UK Job Vacancies ratio per 100 emp jobs - Accommodation&Food Services Activities,,,2025-02-18,2025-03-20,
JPB2,UK Job Vacancies ratio per 100 emp jobs - Information & Communication,,,2025-02-18,2025-03-20,
