CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
AIXF,LFS: Employment rate: Aged 16-17: In full-time education: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIXG,LFS: Employment rate: Aged 18-24: In full-time education: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIXH,LFS: Employment rate: Aged 16-24: In full-time education: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIXR,LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIXS,LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIXT,LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIXU,LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIXV,LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIXW,LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIXX,LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: Female: %: S,,%,2025-02-18,2025-03-20,
AIXY,LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: Female: %: S,,%,2025-02-18,2025-03-20,
AIXZ,LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: Female: %: S,,%,2025-02-18,2025-03-20,
AIYA,LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYB,LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYC,LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYD,LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYE,LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYF,LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYG,LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIYH,LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIYI,LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIYL,LFS: Economic inactivity rate: Aged 16-24: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYO,LFS: Economic inactivity rate: Aged 16-24: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYR,LFS: Economic inactivity rate: Aged 16-24: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIYS,LFS: Econ. inactivity rate: Aged 16-17: Not in full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYT,LFS: Econ. inactivity rate: Aged 18-24: Not in full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYU,LFS: Econ. inactivity rate: Aged 16-24: Not in full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIYV,LFS: Econ. inactivity rate: Aged 16-17: Not in full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYW,LFS: Econ. inactivity rate: Aged 18-24: Not in full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYX,LFS: Econ. inactivity rate: Aged 16-24: Not in full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIYY,LFS: Econ. inact. rate: Aged 16-17: Not in full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIYZ,LFS: Econ. inact. rate: Aged 18-24: Not in full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIZA,LFS: Econ. inact. rate: Aged 16-24: Not in full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIZB,LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIZC,LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIZD,LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIZE,LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIZF,LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIZG,LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIZH,LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIZI,LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIZJ,LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
ALY5,UK Vacancies by size of enterprise - 1-9 employed (thousands),,,2025-02-18,2025-03-20,
ALY6,UK Vacancies by size of enterprise - 10-49 employed (thousands),,,2025-02-18,2025-03-20,
ALY7,UK Vacancies by size of enterprise - 50-249 employed (thousands),,,2025-02-18,2025-03-20,
ALY8,UK Vacancies by size of enterprise - 250-2499 employed (thousands),,,2025-02-18,2025-03-20,
ALY9,UK Vacancies by size of enterprise - 2500+ employed (thousands),,,2025-02-18,2025-03-20,
ANZ6,United Kingdom employment rate (EUROSTAT version),,,2025-02-18,2025-03-20,
AP2Y,UK Vacancies (thousands) - Total,,,2025-02-18,2025-03-20,
AP2Z,UK Job Vacancies ratio per 100 emp jobs - Total,,,2025-02-18,2025-03-20,
BBFW,Labour disputes; working days lost due to strike action; UK (thousands),,(000's),2025-02-18,2025-03-20,
BCAJ,UK Employee Jobs SA : Total (thousands),,,2025-02-18,2025-03-20,
BEAO,LFS: ILO redundancy level (thousands): UK: All: SA,,000's,2025-02-18,2025-03-20,
BEAQ,LFS: Econ inactive: Look after family/home: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
BEAS,LFS: Economically inactive: UK: Male: Does not want job: %: SA,,%,2025-02-18,2025-03-20,
BEAT,LFS: Econ inactive: Wants a Job: Students: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEAZ,LFS: Econ inactive: Does not want a Job: Other: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEBP,LFS: Economically Inactive: UK: Male: Aged 16-64: %: SA,,%,2025-02-18,2025-03-20,
BEDI,LFS: Econ inactive: Temp Sick: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
BEDL,LFS: Econ inactive: Long Term Sick: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
BEDR,LFS: Econ inactive: Retired: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
BEDU,LFS: Econ inactive: Other: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
BEEH,LFS: Econ inactive: Students: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEEK,LFS: Econ inactive: Look after family/home: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEEN,LFS: Econ inactive: Temp Sick: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEEQ,LFS: Econ inactive: Long Term Sick: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEET,LFS: Econ inactive: Discouraged Worker: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEEW,LFS: Econ inactive: Retired: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEEX,LFS: Econ inactive: Students: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
BEEZ,LFS: Econ inactive: Other: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
BEGT,LFS: Economically inactive: UK: Male: Wants a job: %: SA,,%,2025-02-18,2025-03-20,
BEGX,LFS: Econ inactive: Wants a Job: Temp Sick: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEGY,LFS: Econ inactive: Wants a Job: Students: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEHB,LFS: Econ inactive: Wants a Job: Look after family/home: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEHE,LFS: Econ inactive: Wants a Job: Temp Sick: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEHG,LFS: Econ inactive: Wants a Job: Other: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEHH,LFS: Econ inactive: Wants a Job: Long Term Sick: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEHK,LFS: Econ inactive: Wants a Job: Discouraged Worker: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEHN,LFS: Econ inactive: Wants a Job: Other: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEIR,LFS: ILO redundancy rate: UK: All: SA,,"per 1,000 employees",2025-02-18,2025-03-20,
BEIU,LFS: ILO redundancy level (thousands): UK: Men: SA,,000's,2025-02-18,2025-03-20,
BEIV,LFS: Econ inactive: Does not want a Job: Students: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEIX,LFS: ILO redundancy rate: UK: Men: SA,,"per 1,000 employees",2025-02-18,2025-03-20,
BEIY,LFS: Econ inactive: Does not want a Job: Look after family/home: UK: Male: 000s:,,,2025-02-18,2025-03-20,
BEJA,LFS: ILO redundancy level (thousands): UK: Women: SA,,000's,2025-02-18,2025-03-20,
BEJB,LFS: Econ inactive: Does not want a Job: Temp Sick: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEJC,LFS: Econ inactive: Does not want a Job: Students: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEJD,LFS: ILO redundancy rate: UK: Women: SA,,"Per 1,000 employees ",2025-02-18,2025-03-20,
BEJE,LFS: Econ inactive: Does not want a Job: Long Term Sick: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEJF,LFS: Econ inactive: Does not want a Job: Look after family/home: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEJI,LFS: Econ inactive: Does not want a Job: Temp Sick: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEJK,LFS: Econ inactive: Does not want a Job: Other: UK: Male: 000s: SA,,,2025-02-18,2025-03-20,
BEJL,LFS: Econ inactive: Does not want a Job: Long Term Sick: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BEJO,LFS: Econ inactive: Does not want a Job: Retired: UK: Male: %: SA,,,2025-02-18,2025-03-20,
BFDS,"LM Structure: UK:Female:econ activity rate, not in FTE16-17%QTRS=SeasonsNSA",,,2025-02-18,2025-03-20,
BFEO,LFS: Econ. inactivity does not want a job: Total: UK: male:%,,,2025-02-18,2025-03-20,
BLUT,Labour disputes; number of workers involved in period; UK (thousands),,(000's),2025-02-18,2025-03-20,
BLUU,Labour disputes; number of stoppages in progress; UK,,,2025-02-18,2025-03-20,
CRZK,Economically inactive Rate:Total (16-64):ALL:%,,,2025-02-18,2025-03-20,
DSWD,Unemployment level by country of birth (16+) - UK born: Thousands,,,2025-02-18,2025-03-20,
DSWE,Unemployment level by nationality (16+) - UK national: Thousands,,,2025-02-18,2025-03-20,
DT2W,Unemployment rate by country of birth (16+) - UK born: %,,,2025-02-18,2025-03-20,
DT2Z,Unemployment rate by nationality (16+) - UK national: %,,,2025-02-18,2025-03-20,
DT35,Unemployment level by country of birth (16+) - Non-UK born: Thousands,,,2025-02-18,2025-03-20,
DT39,Unemployment level by nationality (16+) - Non-UK national: Thousands,,,2025-02-18,2025-03-20,
DT3B,Unemployment rate by country of birth (16+) - Non-UK born: %,,,2025-02-18,2025-03-20,
DT3D,Unemployment rate by nationality (16+) - Non-UK national: %,,,2025-02-18,2025-03-20,
DT3F,Unemployment level by country of birth (16+) - Total EU (EU27): Thousands,,,2025-02-18,2025-03-20,
DTG9,Unemployment level by nationality (16+) - Total EU (EU27): Thousands,,,2025-02-18,2025-03-20,
DTJG,Unemployment rate by country of birth (16+) - Total EU (EU27): %,,,2025-02-18,2025-03-20,
DTKA,Unemployment rate by nationality (16+) - Total EU (EU27): %,,,2025-02-18,2025-03-20,
DTKB,Unemployment level by country of birth (16+) - Total Non-EU: Thousands,,,2025-02-18,2025-03-20,
DTKC,Unemployment level by nationality (16+) - Total Non-EU: Thousands,,,2025-02-18,2025-03-20,
DTKD,Unemployment rate by country of birth (16+) - Total Non-EU: %,,,2025-02-18,2025-03-20,
DTLH,Unemployment rate by nationality (16+) - Total Non-EU: %,,,2025-02-18,2025-03-20,
DTLK,Economically inactive: total by country of birth (16-64): UK born: thousands,,,2025-02-18,2025-03-20,
DYDC,UK Workforce Jobs SA : Total (thousands),,,2025-02-18,2025-03-20,
DYDH,GB Workforce Jobs SA : Total (thousands),,,2025-02-18,2025-03-20,
DYTC,Economically inactive: total by nationality (16-64): UK national: thousands,,,2025-02-18,2025-03-20,
DYTD,Economically inactive: total by country of birth (16-64): UK born: %,,,2025-02-18,2025-03-20,
DYUO,Economically inactive: total by nationality (16-64): UK national: %,,,2025-02-18,2025-03-20,
DYUP,Economically inactive: student by country of birth (16-64): UK born: thousands,,,2025-02-18,2025-03-20,
DYUQ,Economically inactive: student by nationality (16-64): UK national: thousands,,,2025-02-18,2025-03-20,
DYUR,Economically inactive: total by country of birth (16-64): Non-UK born: thousands,,,2025-02-18,2025-03-20,
DYUS,Economically inactive: total by nationality (16-64): Non-UK national: thousands,,,2025-02-18,2025-03-20,
DYUT,Economically inactive: total by country of birth (16-64): Non-UK born: %,,,2025-02-18,2025-03-20,
DYUU,Economically inactive: total by nationality (16-64): Non-UK national: %,,,2025-02-18,2025-03-20,
DYVR,Economically inactive: student by country of birth (16-64): Non-UK born: thousands,,,2025-02-18,2025-03-20,
DYVU,Economically inactive: student by nationality (16-64): Non-UK national: thousands,,,2025-02-18,2025-03-20,
DYVZ,Economically inactive: total by country of birth (16-64): EU (EU27) born: thousands,,,2025-02-18,2025-03-20,
DYWA,Economically inactive: total by nationality (16-64): EU (EU27) national: thousands,,,2025-02-18,2025-03-20,
DYWD,Economically inactive: total by country of birth (16-64): EU (EU27) born: %,,,2025-02-18,2025-03-20,
DYWE,Economically inactive: total by nationality (16-64): EU (EU27) national: %,,,2025-02-18,2025-03-20,
DYWL,Economically inactive: student by country of birth (16-64): EU (EU27) born: thousands,,,2025-02-18,2025-03-20,
DYWM,Economically inactive: student by nationality (16-64): EU (EU27) national: thousands,,,2025-02-18,2025-03-20,
DYWR,Economically inactive: total by country of birth (16-64): Non-EU (EU27) born: thousands,,,2025-02-18,2025-03-20,
DYWS,Economically inactive: total by nationality (16-64): Non-EU (EU27) national: thousands,,,2025-02-18,2025-03-20,
DYWT,Economically inactive: total by country of birth (16-64): non-EU (EU27) born: %,,,2025-02-18,2025-03-20,
DYZN,UK Self-employment jobs SA : Total (thousands),,,2025-02-18,2025-03-20,
