REF_AREA,STRUCTURE_NAME,MEASURE,UNIT_MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2013,15.88054787
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2013,20.572887765
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2013,11.691806499
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2013,20.569866231
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2013,13.176296396
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2013,25.694458801
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2014,14.752998391
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2014,20.105228781
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2014,12.133845335
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2014,17.845039934
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2014,12.935895391
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2014,24.789779287
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2015,15.436090522
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2015,19.251480089
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2015,12.627728835
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2015,19.139682815
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2015,13.242897752
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2015,23.176209946
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2016,15.632662037
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2016,19.127321158
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2016,12.096112204
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2016,19.148735215
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2016,13.512250539
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2016,23.374379707
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2017,15.061644364
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2017,19.433177974
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2017,13.479820352
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2017,17.9365334
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2017,13.316532407
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2017,23.042388633
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2018,15.432425828
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2018,19.546257856
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2018,14.436833892
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2018,18.928762701
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2018,13.289943197
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2018,24.118865617
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2019,16.51638654
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2019,18.486903186
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2019,11.608632883
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2019,19.790960182
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2019,14.395422994
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2019,22.941993372
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2020,18.60420531
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2020,19.127586363
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2020,13.506672547
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2020,21.248826227
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2020,16.863247319
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2020,22.827884028
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2021,17.875709972
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2021,19.416648855
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2021,13.149744812
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2021,20.949398593
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2021,15.830797527
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2021,23.585956344
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2022,16.672408585
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2022,20.845248288
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2022,14.055608862
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2022,18.985329264
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2022,15.088574337
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2022,25.494561068
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2023,17.49097695
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2023,19.726159532
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2023,14.432193262
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2023,19.632071395
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2023,15.994732712
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2023,23.420561711
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2024,22.1
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2024,19.027106084
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2024,16.9
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2024,14.5
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2024,18.990760132
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2024,22.2
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2004,15.153088147
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2004,19.678053929
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2004,10.623556259
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2004,28.947626314
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2004,7.3588529463
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2004,24.7940559
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2005,15.275961642
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2005,20.000020102
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2005,11.067537577
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2005,28.703610298
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2005,7.76598529
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2005,24.995886038
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2006,15.789915057
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2006,20.203231175
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2006,11.364516107
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2006,29.067754
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2006,8.3139236815
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2006,25.179805896
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2007,16.193482479
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2007,20.37993331
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2007,11.789491613
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2007,29.413235787
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2007,8.8329089553
AUT,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2007,25.162970952
AUT,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2008,15.865555786
